id,name,latitude,longitude,feature_code,elevation
1476491,Koh-e Sodeghah,35.89628,70.81546,MT,5162
1476492,Koh-e Pistaw,35.91253,70.83392,MT,5363
1476493,Koh-e Ishakh,35.96123,70.82416,MT,5252
1476498,Koh-e Pikah,35.90622,70.95695,MT,5511
1476514,Shugur Gul,35.54395,70.98299,MT,5070
1476518,Koh-e Khwajah Showgah,35.7393,70.96564,MT,5482
1476542,Koh-e Dudargi,35.67578,70.58337,MT,5430
1476544,Koh-e Spi Awgah,35.73414,70.639,MT,5618
1476545,Koh-e Isma'il,35.76855,70.55254,MT,5559
1476547,Koh-e Piryakh,35.77666,70.61431,MT,5040
1476549,Koh-e Firazin,35.75993,70.7287,MT,5392
1476550,Koh-e Wighi,35.76861,70.74656,MT,5062
1476551,Koh-e Chap Darah,35.80904,70.71557,MT,5319
1476553,Koh-e Qalat-e Shakh,35.81237,70.56043,MT,5251
1476555,Koh-e Rekhnenak,35.81162,70.61395,MT,5059
1476563,Koh-e Lorwah,35.89187,70.68726,MT,5416
1476571,Koh-e Rushki,35.92322,70.59267,MT,5143
1476578,Koh-e Polokshu,35.89146,70.51127,MT,5107
7035401,Koh-e Aghak,36.95334,73.36528,MT,5150
7035417,Koh-e Rahman Kot,36.97923,73.7134,MT,5401
7101583,Koh-e Yil Darah,37.813,71.47208,MT,5014
7101591,Koh-e Tishal Darah,37.86023,71.5313,MT,5190
7457572,Lunkho,36.77997,72.41576,MT,6872
7457619,Wakhikan Rah,36.75194,72.32218,MT,5681
7526528,Kalyow,36.39829,70.55282,MT,5226
7529991,Koh-e Shaykh Zard,35.91136,69.96968,MT,5212
10999498,Jaru Dir,36.45844,71.69084,MT,5356
11041375,Lupsup,36.91347,73.67608,MT,5699
12076681,Baba Tungi,36.87744,72.95881,MT,6513
3832469,Cerro Vizcachera,-25.19982,-67.32824,MT,5043
3832906,Cerro Vicunorco,-25.91254,-66.85333,MT,5224
3832919,Cerro Vicunahuasi,-22.23333,-66.75,MT,5152
3833003,Cerro Verde,-24.29961,-66.60531,MT,5419
3833088,Cerro Veladero,-27.91667,-68.95,MT,5533
3833236,Cerro Vallecito,-26.20993,-68.31744,MT,6092
3833257,Cerro del Valle,-32.20953,-69.60606,MT,5062
3833295,Cerro de Vacas Heladas,-29.87851,-69.89613,MT,5374
3833470,Cerro Tuzgle,-24.05631,-66.47894,MT,5500
3833686,Cerro Tres Rios,-26.12628,-66.17495,MT,5014
3833824,Nevado Tres Cruces,-27.0981,-68.77905,MT,6749
3834169,Cerro del Toro,-29.12993,-69.78687,MT,6168
3834242,Cerro Tolosa,-32.77052,-70.04005,MT,5103
3834698,Cerro del Tambillo,-32.30475,-69.68109,MT,5615
3834918,Cerro Sur Bayo,-24.53572,-68.40936,MT,5343
3835062,Cerro Sosneado,-34.75357,-69.97185,MT,5177
3835169,Cerro Socompa Caipis,-24.49121,-68.30877,MT,5175
3835271,Cerro Silla,-24.78928,-68.56475,MT,5287
3836403,Cerro Santa Clara,-33.17453,-69.70923,MT,5036
