id,name,latitude,longitude,feature_code,elevation
1468649,Koh-e Targul,36.25705,71.42769,MT,4764
1458002,Koh-e Jilandar,34.35187,66.81915,MT,3401
868765,Gora Nagoy-Chuk,44.0377,39.8891,MT,2467
6935872,Baellehoechst,46.63105,7.858,PK,2095
1023922,Aasvoelberg,-31.67549,24.83954,MT,2264
3219116,Monte Dauda,46.48167,12.96722,MT,1423
2561820,Jebel Afedna,31.37905,-6.61701,MT,2406
11409360,Gora Konyrtobe,49.20453,74.53579,MT,895
9144650,Ramnklubbvikfjellet,68.51313,15.24911,MT,50
10979129,Skimthi,38.05873,23.94837,PK,469
8165910,Mount Long,-23.05632,135.32291,MT,827
222036,Labakourousle,11.08333,42.66667,MT,828
7469919,Basti Koh,28.41944,64.01856,MT,1282
3692603,San Cayetano,-6.06667,-80.98333,MT,88
3854833,Cerro Grande,-24.63333,-66.91667,MT,4004
6622183,"Nestor, Mount",-64.41473,-63.43451,MT,1250
4217971,Rattlesnake Knob,34.87676,-83.68545,MT,1075
3934946,Cerro Mina-orcco,-13.66667,-72.16667,MT,4157
6726804,Zhongchuan Shan,24.11758,120.93729,PK,1186
9797893,Kuh-e Gavi,33.39246,57.3454,MT,2152
5585031,Bear Skull,47.11103,-115.69043,MT,1932
9138749,Baerfjellet,58.4192,6.43948,MT,212
11313574,Kuh-e Naqqareh Khaneh,34.20996,49.07909,MT,2534
777229,Svartbergan,70.96656,27.20262,PK,200
5904957,Bocock Peak,55.8499,-122.95312,PK,1576
3056903,Velka Skala,48.44085,18.16418,MT,489
7694784,Kuh-e Kamar-e Do Shakh,33.10536,56.30295,MT,1441
12626598,Gora Chelasin,56.68415,136.98568,MT,1034
1596167,Doi Ku Sathan,18.26378,100.47569,MT,1609
1946828,Foho Fatoboe,-8.91333,125.86778,MT,751
3939909,Cerro Huahuapas,-17.90336,-70.12381,MT,1576
72599,Qarn Mi`wal,15.83333,47.83333,MT,733
8634868,Cerro Cruz Azul,2.5382,-76.01811,MT,1372
7470494,Kuh-e Saqqez,34.77619,49.78802,MT,2201
3773582,Topo El Onoto,9.85644,-67.71129,PK,940
9530478,Kuh-e Kalut-e Runeh,33.98549,54.21572,MT,1070
6685328,Kuh-e Downbuli Daghi,38.48713,45.20486,MT,1696
1170893,Koh-i-Maran,29.43836,66.80641,MT,3235
5793373,Eddys Mountain,48.66483,-122.16377,MT,479
4030276,Cerro Tio Lele,30.75972,-111.5068,MT,798
9026689,Cerro La Sauceda,30.21957,-110.82485,MT,995
2161887,Kangaroo Mountain,-35.07646,148.26948,MT,723
12468698,Cerro El Chivato Muerto,-23.43827,-67.47052,MT,4927
10248786,Zdravec,41.55225,21.33756,MT,1532
3604909,Maton de Cana,14.81667,-86.86667,MT,908
9531631,Kuh-e Kalut-e Siah,33.04438,55.44724,MT,1207
6696296,Cime Campestrin Punta Nord,46.57594,12.01805,PK,2834
3955436,Cerro Acosuanta,-15.36889,-71.83083,MT,4991
8656941,Khulah-ye Rindah,34.30188,63.84106,MT,2213
2039147,Yongdok-san,40.35487,128.40217,MT,1405
3904205,Cerro Siquicapia,-16.8,-69.2,MT,3868
10821548,Gora Abatas,45.4096,81.03287,MT,2912
8777461,Cerro Bola,25.24844,-102.08393,MT,1688
8311160,Nui Lien Hang,22.06761,106.64002,MT,384
12300547,Loma Pan de Azucar,-0.26673,-78.71283,MT,2599
11317472,Kak'avasar,40.97931,43.71948,MT,2241
1153382,Khao Hang Nak,8.09492,98.76219,MT,326
2964194,Slieve Fyagh,54.20666,-9.65745,MT,335
3976789,Cerro Zatajaqui,25.55437,-108.94462,MT,294
5328924,Black Butte,34.85415,-116.69253,MT,602
2580946,Koudiet Serdjet Tekrast,35.47313,0.50188,MT,427
2397258,Mont Nkoulefa,-0.1,10.8,MT,137
6412343,Cerro Mamahuarmi,-11.1025,-77.15361,MT,1479
6369411,Cerro Leon Huactana,-13.51194,-75.11389,MT,4470
8063998,Gora Manas,42.31716,71.02085,MT,4244
8168150,Scrubby Mountain,-25.57083,151.80889,MT,319
7865460,Dongo,-10.55503,14.81501,MT,1523
11009027,Cerro Molino Rumi,-15.27423,-73.90724,MT,3712
11345357,Babina Chuka,41.40445,24.81755,MT,1396
12628758,Gora Gayundo,55.86236,135.74032,MT,1222
2508463,Djebel Ahmed,36.62238,3.53617,MT,715
787640,Tilva Njagra,44.07361,21.99667,MT,770
2807791,Winterberg,51.85358,10.55778,MT,593
1410038,Koh-e Shahid,36.16507,69.05174,MT,1541
1296519,Shwenattaung Paya,19.27635,94.88394,MT,315
3044971,Szako-nyereg,47.74386,18.87359,MT,563
5235409,Deer Hill,44.82949,-71.9876,MT,414
2141228,Gamato,-20.71667,164.78333,PK,466
2986069,Punta di Purcilellu,42.15656,8.87572,PK,1358
3991728,Cerro Prieto,28.95088,-110.79587,MT,555
7033868,Jabal Kishan,37.28594,43.05205,MT,2020
2181828,Taringatura Hill,-45.85,168.21667,MT,535
3954039,Cerro Condorsallana,-14.46444,-71.13,MT,4780
3079549,Belec,49.47774,13.24157,MT,712
3752120,Cerro Mojon Grande,-6.78667,-78.39694,MT,3993
4102510,Bohannan Mountain,36.09869,-93.8063,MT,541
3949891,Cerro Porvenir,-53.9326,-72.22387,MT,193
9137177,Skudeberget,57.9888,7.06958,MT,5
5441974,Triangle Peak,39.31054,-106.91088,MT,2810
4308927,Somerset Knob,37.7584,-86.29942,MT,240
9289324,Cerro El Tepetate,18.16476,-102.08781,MT,959
7459183,Gora Kurgaya,53.4987,87.836,MT,524
9622079,Cerro El Camote,17.42445,-96.95956,MT,2225
4229427,Ward Mountain,34.30731,-85.0755,MT,296
12606185,Gora Bestak,50.44274,139.33251,MT,1133
3898125,Cerro Boldo Negro,-34.33723,-71.01335,MT,634
1434120,'Ali Khel Ghar,32.90661,69.07593,MT,2835
330420,Mote Terara,9.11667,36.65,MT,2063
5526935,Negro Head,30.83487,-103.55545,MT,1279
9628099,Bayumbaca,16.94437,-92.57985,MT,1581
11469337,Kuh-e Chah Rey,36.24807,51.64395,MT,3379
5536189,Burning Hills,37.26471,-111.36877,MT,1694
7176182,Academy Hill,41.28694,-73.91639,MT,76
5849324,Ki'ikolu,21.20941,-156.97013,MT,20
5853097,Pu'uanahulu Mountain,19.85073,-155.85561,MT,464
8457975,Bukit Singgirik,-1.7781,101.8195,MT,1117
11026843,Kuh-e Guza,37.18661,48.79481,MT,2253
3363080,Pakhuispiek,-32.12217,19.01098,MT,1039
8768096,Cerro La Relumbrosa,27.62392,-112.8269,MT,602
5837906,Sentinel Rock,42.58163,-104.87775,MT,1503
12434,Tofoulia,34.78274,32.78922,MT,769
6150846,Snowshoe Peak,60.62714,-138.32473,PK,2135
1471335,Taygh-e Chihil Bayd,34.383,63.86236,MT,2429
11360166,Kuh-e Chah-e Tiz,28.39089,53.8761,MT,1583
858355,Gora Rialimeer,42.47542,46.39241,MT,2960
6671775,Cerro Pampamarca,-11.78365,-75.89338,MT,4719
125849,Kuh-e Lareh Kuh,34.39675,48.00993,MT,1944
7453209,Gora Uchtash,52.7851,87.6411,MT,1124
6076585,Montagne du Douze,45.56198,-71.98719,MT,238
1432487,Baba Pahar,33.75833,74.40556,MT,3760
6070747,McMahon Bluff,43.96682,-77.01614,MT,73
2597995,Terabil,19.54361,8.51889,MT,1094
2087152,Mount Sari,-5.46667,141.66667,MT,2276
10639209,Cerro Jornada,-14.64982,-74.58901,MT,3616
11091849,Afras Bouazza,35.01285,-4.16472,MT,1192
937833,Wynberg,-29.42256,27.36947,MT,1721
5397234,Source Point,37.22439,-119.3918,MT,1853
10248563,Dolno Kule,41.67191,21.41379,PK,1829
3914877,Cerro Huancarani,-16.66667,-68.51667,MT,3926
11263289,Kuh-e Sar Panjehha,36.25923,58.16726,MT,1692
4484359,Peach Knob,35.63845,-82.49624,MT,1154
838682,Stanovica,41.22143,21.81709,MT,1181
12179984,Kuh-e Kamar-e Suz,31.33085,53.89428,MT,1996
369450,Nakapiyan,4.88333,35.5,MT,1389
9008913,Cerro El Madero,25.30784,-102.81113,MT,1402
7627566,Grosse Windschar,46.88953,12.0172,MT,3042
1459617,Gory Aktash,33.865,63.15194,MT,2321
1946176,Gunung Solubo,-8.62889,126.62694,MT,1407
11313034,Kuh-e Aghol Palang,36.44797,59.0453,MT,1775
2433297,Ehi Doma,20.7,17.45,MT,2275
5641023,Blizzard Hill,46.25187,-112.57142,MT,2328
1348940,Kuzh Zyabeh Ghar,31.925,68.84222,MT,2208
2139125,Ouinde,-21.55,165.86667,MT,425
3828275,Cerro Potrerito,3.37826,-74.96831,MT,1376
3339586,Blagov Krs,42.99639,19.70917,PK,1097
5286940,Bronco Butte,33.55505,-111.27152,MT,1268
385733,Kuh-e Tershidu,36.4127,53.85111,MT,2585
8260392,Jumeaux de Sumene (2),43.97064,3.70728,MT,525
5314034,Sheep Mesa,33.71727,-111.56791,MT,953
6939068,Grosse Grubenspitze,47.15444,10.13583,PK,2659
10654181,Bats'sar,40.0611,45.38348,MT,2590
2591117,Bruncu Scala Manna,39.22833,9.42667,PK,739
1116154,Doi Pha Lai,18.72208,98.35595,MT,888
1151914,Khao Nam Lot Noi,10.30831,98.92236,MT,464
2032876,Archin Tolgoy,44.81667,113.03333,MT,1296
1628537,Todo Satalibo,-8.5289,119.4723,MT,721
1429036,Koh-e Mawa,35.11239,70.88043,MT,2917
386506,Har `Ofa'im,32.99005,35.40166,MT,1082
8721260,Kuh-e Bagh-e Pahneh,36.01349,50.93671,MT,2143
1622664,Gunung Umeh,1.16667,124.8,MT,774
2135555,Nitchawounhou,-20.2,169.81667,PK,338
2576863,Djebel Sameur,35.21929,0.24233,MT,752
10427168,Kuh-e Ching Khanom,33.08759,59.16419,MT,1895
5084985,Copp Hill,43.52564,-71.00368,MT,274
6939159,Madloch Spitze,47.17921,10.12261,PK,2546
7914006,Gunung Bubut,-7.6391,107.9991,MT,485
2740717,Alto da Cilha,41.55,-7.81667,MT,485
10180760,Kuh-e Sang Azadi,28.57638,56.56033,MT,1739
11325096,Geret,40.6723,45.33893,MT,2237
6705806,Gunung Batangserangan,3.7992,97.9352,MT,1506
8689786,Cerro El Socorro,30.601,-110.13137,MT,1391
6696715,Hlupy,49.23708,20.22064,MT,2061
390231,Kuh-e Siah,29.6426,52.8758,MT,2168
1867202,Usan-bong,39.89611,124.74111,MT,476
6640515,Shuyuan Shan,24.67917,121.11056,PK,586
966213,Pardekop,-32.93943,21.19185,MT,1281
2573489,Kef et Tiour,35.24028,2.39972,MT,953
3506928,El Mogote,18.5,-70.38333,MT,982
3240197,Liscak,44.22944,16.75778,PK,1231
6960168,Huidu Oliluanti,0.5545,122.0612,MT,460
10956674,Ghlame,30.88849,-7.72608,MT,2355
11349177,Padiri Malai,12.59995,78.95593,MT,914
2889239,Kleiner Kornberg,50.17421,11.95927,MT,678
276300,Jabal Bu Dajaj,33.1,35.3,MT,668
12226141,Orlova Chuka,42.009,23.11522,PK,551
4082538,Peck Hill,33.66399,-85.79413,MT,444
402312,Kuh-e Sedaruk,31.64773,54.74871,MT,1800
4018084,Picos Ast Oh-Hiss-Hoe-Huh,29.23333,-112.11667,PK,399
6375040,Cerro Punta Orjo,-13.91778,-73.58889,MT,4176
6935973,Schaflaegersteck,46.64458,8.24572,PK,2869
70537,Jabal as Sikkitah,14.65,48.78333,MT,1695
1285527,Yebu Taung,13.41647,98.57205,MT,596
1972118,Gunung Gerbek,-7.8975,112.50972,MT,1265
9142337,Rahpesvarri,69.24688,23.85834,MT,385
9147190,Garanascakka,70.47405,24.94787,MT,120
11226866,Pedregoso,19.7944,-100.62095,MT,3275
7528881,Surkh Koh,35.46612,66.72486,MT,3288
5314037,Sheep Mountain,36.29332,-111.60154,MT,1863
6660164,Cerro Morro Verde,-16.18447,-71.6297,MT,3647
6934612,Uomo di Sasso,46.4862,9.01818,PK,2675
8037735,Phu Yakha,16.75981,104.33758,MT,481
6643833,Maokongyuan Shan,24.96721,121.60315,PK,481
11233349,Pha Louang,17.86997,104.71812,MT,721
4962290,Deans Hill,44.30257,-70.37978,MT,185
2851209,Raben-Kopf,47.55301,11.1125,MT,1107
4012780,Cerro Corrales,23.36667,-103.63333,MT,2562
